id	type	Não Ambíguo	Testável	Prioritizável	Valioso	Entendível	Conciso	Consistente	Completo	Negociável	Factível	Independente	Estimável	Atômico	Pequeno
Projeto1_LUCAS_UC2	Use case	Não aparenta ser ambiguo visto que a descrição é bem objetiva na especificação.	É testável uma vez que é descrito o que é espreado na saida no fluxo principal e no alternativo.	É priorizável, visto que está descrito o que precisa e seu resultado.	É valioso porque é uma funcionalidade que está liga diretamente ao negócio.	É entendível, porque está usando termos relativos a funcionalidade e autores envolvidos.	É conciso pois tem somente necessário para essa funcionalidade descrito.	É consistente pois está de acordo com o que a funcionalidade pedia.	É completo pois possui dados suficiente para executa-lo em algum nível.	É negociável porque não impõem os detalhes da implementação o que permite ser discutido os detalhes.	É factível porque contem informações para se fazer protótipos ou experimentos.	Não é independente porque o primeiro item listado já mostra uma forte ligação com processo de cadastro.	É estimavel com as informações fornecidas.	Não é atomico visto que o primeiro item já expressa um fluxo não relativo a feature.	Não é pequeno pois está descritos muito fluxos com etapas grandetes com a parte do GPS.
Projeto1_LUCAS_UC3	Use case	É ambíguo pois não fica claro se o sistema lista os alimentos que causam alergia ou o usuário informa.	Não é testavel uma vez que parte da discrição está ambígua.	É difícil priorizar pois está confuso a questão de onde vem os alimentos que causam alergia.	É valioso porque é uma funcionalidade que está liga diretamente ao negócio.	É entendível, porque está usando termos relativos a funcionalidade e autores envolvidos.	Não é conciso pois apresenta outro caso de uso junto ao principal, como o de cadastrar novos alimentos.	É consistente pois está de acordo com o que a funcionalidade pedia.	É completo pois possui dados suficiente para executa-lo em algum nível.	É negociável porque não impõem os detalhes da implementação o que permite ser discutido os detalhes.	É factível porque contem informações para se fazer protótipos ou experimentos.	Não é independente porque o primeiro item listado já mostra uma forte ligação com outro processo.	É estimavel com as informações fornecidas.	Não é atomico visto que o primeiro item já expressa um fluxo não relativo a feature.	Não é pequeno visto que aparenta ter mais de um caso de uso.
Projeto1_JULIA_US_FT11	BDD	É um tanto ambíguo pois a medida que fala de cadastro de ingredientes e pratos, também fala da implementação de um aviso ara lembrar o usuário de informar se algum dos ingredientes possui um alergênico, deixando margem para diferentes interpretações.	É testável pois é possível verificar se o requisito foi atendido.	É prioritizável por ser possível atribuir uma prioridade a esse requisito.	É valioso pois a implementação desse requisito agrega valor ao cliente.	É entendível pois foi escrito de maneira clara, apesar de conter indicação de dois cadastros diferentes - pratos e ingredientes.	Não é muito conciso por incluir dois cadastros - de pratos e de ingredientes.	É consistente pois vai ao encontro das necessidades do cliente e não é conflitante com outros requisitos.	É completo pois está suficientemente detalhado.	É negociável pois deixa margem para que decisões detalhadas sejam feitas pelos envolvidos posteriormente.	É factível pois pode ser executado dentro das restrições do projeto.	Não é independente pois depende da implementação do cadastro de restaurantes para ser implementado.	O esforço para a execução desse cenário é possível de ser estimado.	Não é atômico porque pode ser dividido e pode ser entendido independentemente, visto que compreende cadastro de pratos e cadastro de ingredientes.	Não é pequeno pois pode ser quebrado em diferentes requisitos e cenários.
Projeto1_JULIA_Definicoes	Definitions	Não pode ter diferentes sentidos, ser vago ou despertar dúvidas. Tem que deixar claro se a solução atende ou não à necessidade associada.	Deve ser possível verificar se o requisito ou design foi atendido.	Deve ser possível associar uma prioridade a cada requisito, para que seja mais fácil decidir quais implementar primeiro e quais poderiam ser cortados, em caso de redução do escopo do projeto.	Tem que ter um valor para o cliente, ser importante.	Deve ser possível de ser compreendido pela equipe envolvida.	Deve ser preciso, sucinto, resumido, sem conteúdo desnecessário.	Deve estar de acordo com as necessidades identificadas junto às partes envolvidas, e não deve conflitar com outros requisitos.	Ele deve ser suficientemente detalhado para guiar o trabalho a ser executado.	Deve capturar a essência e não os detalhes, permitindo que os detalhes sejam desenvolvidos em conjunto pelo cliente e programador.	Deve ser possível de ser feito ou executado dentro de determinado risco, cronograma e custos.	Não depender de outros requisitos para sua implementação, podendo ser implementado em qualquer ordem.	Possível de calcular o trabalho necessário para ser executado.	Um atributo deve ser auto contido e deve ser possível entendê-lo independentemente de outros requisitos ou design.	Deve ser pequeno o sificiente para que possa ser desenvolvido por poucas pessoas em poucas semanas de trabalho.
Projeto2_OLIMAR_Definicoes	Definitions	Quando o cenário/caso de uso é claro em informar se uma solução satisfaz ou não a necessidade associada.	Quando o cenário/caso de uso possui um bom nível de abstração, se tornando de fácil verificação, quanto a sua concepção.	Quando o cenário/caso de uso possui uma categorização de importância de implementação em relação aos demais.	Quando o cenário/caso de uso é importante para o negócio, como um todo, principalmente para o cliente e sua implementação deve possuir uma atenção maior.	Quando o cenário/caso de uso é de fácil entendimento, com termologias de uso commum.	Quando o cenário/caso de uso está bem definido e sem informações desnecessárias.	Quando o cenário/caso de uso está bem alinhado com os demais, sem gerar conflitos com outros requisitos.	Quando o cenário/caso de uso possui todas as informações e detalhes necessários para a sua implementação, incluindo todos os possíveis "caminhos".	Quando o cenário/caso de uso possui a possibilidade de ser co-criado durante o desenvolvimento, pelo cliente e desenvolvedor. Não se atando a detalhes e sem a necessidade de priorizá-lo ou agendá-lo.	Quando o cenário/caso de uso é razoável e viável de ser implementado, com calendário e orçamento dentro do risco acordado.	Quando o cenário/caso de uso é independente dos demais, não sobrepondo conceitos e que podem ser implementados em qualquer ordem.	Quando o cenário/caso de uso possui um escopo bem definido e normalmente quando a implementação já é de conhecimento da equipe e a sua estimativa de tempo, consegue ser estipulada.	Quando o cenário/caso de uso não depende de outros para ser compreendido.	Quando o cenário/caso de uso possui um escopo pequeno e que envolva poucas pessoas e semanas de trabalho para a sua execução.
Projeto2_LUCAS_US2	Use case	Não aparenta ser ambiguo visto que a descrição é bem objetiva na especificação.	É testável, pois o mesmo exemplifica como cada cenário deve ser execudado e o que retornará.	É priorizável, visto que está descrito o que precisa e seu resultado.	É valioso porque é uma funcionalidade que está liga diretamente ao negócio.	É entendível, porque está usando termos relativos a funcionalidade e autores envolvidos.	É conciso pois tem somente necessário para essa funcionalidade descrito.	É consistente pois está de acordo com o que a funcionalidade pedia.	É completo pois possui dados suficiente para executa-lo.	É negociável porque não impõem os detalhes da implementação o que permite ser discutido os detalhes.	É factível porque contem informações para se fazer protótipos ou experimentos.	É independente pois não mostra ligação com outra US.	É estimável pois os elementos para executar estão descritos.	É atômico visto que não parece ter ligação com outros processos.	Cada cenário aparentar ser pequeno pela sua descrição e objetividade.
Projeto1_CAROLINA_Capa_Proj_1	Misc														
Projeto1_WILLIAN_UC-11	Use case	O UC não é ambíguo pois o processo descrito nele não está presente/contido em nenhum outro UC	Este UC é Testavel pois apresenta os recursos que devem ser validados nesta etapa	Este UC é prioritizável pois está alinhado e conciso com os demais UCs	Este UC é Valioso pois apresenta bem a sua real aplicabilidade no sistema	É entendível pois a linguagem utilizada é acessível ao público-alvo	Este UC é conciso pois todo o conteúdo apresentado é útil	Este UC é consistente pois apresenta fielmente os anseios do solicitante	O UC é bem completo e apresenta um nível de detalhe muito útil ao desenvolvimento	Este UC é negociável pois apresenta bem a ideia do requisito	Este UC é factível pois aparentemente está com o escopo bem definido, 	Este UC é parcialmente independente pois seus pré-requisitos não são suas exclusividades, 	É estimável pois a maneira como este foi descrita apresenta os desafios de sua implementação, 	Este UC é atômico pois contém todas as informações necessárias para o entendimento	Este UC é pequeno pois apresenta toda a necessidade da feautre em sua descrição
Projeto1_OLIMAR_Definicoes	Definitions	Quando o cenário/caso de uso é claro em informar se uma solução satisfaz ou não a necessidade associada.	Quando o cenário/caso de uso possui um bom nível de abstração, se tornando de fácil verificação, quanto a sua concepção.	Quando o cenário/caso de uso possui uma categorização de importância de implementação em relação aos demais.	Quando o cenário/caso de uso é importante para o negócio, como um todo, principalmente para o cliente e sua implementação deve possuir uma atenção maior.	Quando o cenário/caso de uso é de fácil entendimento, com termologias de uso comum.	Quando o cenário/caso de uso está bem definido e sem informações desnecessárias.	Quando o cenário/caso de uso está bem alinhado com os demais, sem gerar conflitos com outros requisitos.	Quando o cenário/caso de uso possui todas as informações e detalhes necessários para a sua implementação, incluindo todos os possíveis "caminhos".	Quando o cenário/caso de uso possui a possibilidade de ser co-criado durante o desenvolvimento, pelo cliente e desenvolvedor. Não se atando a detalhes e sem a necessidade de priorizá-lo ou agendá-lo.	Quando o cenário/caso de uso é razoável e viável de ser implementado, com calendário e orçamento dentro do risco acordado.	Quando o cenário/caso de uso é independente dos demais, não sobrepondo conceitos e que podem ser implementados em qualquer ordem.	Quando o cenário/caso de uso possui um escopo bem definido e normalmente quando a implementação já é de conhecimento da equipe e a sua estimativa de tempo, consegue ser estipulada.	Quando o cenário/caso de uso não depende de outros para ser compreendido.	Quando o cenário/caso de uso possui um escopo pequeno e que envolva poucas pessoas e semanas de trabalho para a sua execução.
Projeto2_GRAZIELE_Cenario_1	BDD	Claramente definido afim de que seja facilmente definido se a solução atende ao requisito ou não.	É possível verificar se o requisito foi desenvolvido corretamente e completamente.	Rankeado, agrupado ou negociado em termos de importância e valor em relação aos outros requisitos.	O requisito é valioso para o cliente, está de acordo com uma necessidade real do cliente.	Utiliza terminologia que permite o entendimento do cliente.	Não é necessário informações externas para o entendimento.	Alinhado com as necessiadades dos stakeholders e não conflitante com outros requisitos	Suficiente para guiar o trabalho no nível apropriado de detalhe.	É possível que alguns detalhes sejam criados pelo programador durante o desenvolvimento, trazendo a essência do que tem que ser feito, não os detalhes.	É possível de ser realizado.	É possível de ser trabalhado como se fosse independente dos demais requisitos	É possível estimar quanto tempo será necessário para trabalhar na tarefa.	O cenário não pode ser dividido pois trata de um requisito único, que não deve ser dividido.	Requisito pequeno, que exija pouco tempo de trabalho para ser atendido.
Projeto2_CASSIANO_Caso_11	Use case	Não ambíguo, pois tem uma ideia direta do que representa	Pode ser testado e prototipado para verificar seu funcionamento.	Deve ter prioridade alta, pois é a função essencial do sistema.	Valioso, pois faz parte do modelo de negócio proposto pelo stakeholder.	Caso de uso entendível, pois através dele temos uma noção de como irá funcionar o sistema.	Caso de uso conciso, pois tem o necessário para o entendimento.	Caso de uso consistente, pois é de extrema importância para o stakeholder.	Caso de uso completo, pois chega ao resultado final esperado.	Pode ser negociável, pois pode ser melhorado caso algo a mais seja necessário.	Factível, pois pode ser mensurado através de protótipos e testes.	Não é independente, pois necessita de outro requisito e configuração para funcionar.	Estimável, pois é um ponto essencial do sistema.	É atômico, pois deve funcionar utilizando outros requisitos e configurações do sistema.	É pequeno, pois é uma função simples de ser realizada no sistema.
Projeto2_CASSIANO_Caso_10	Use case	Não ambíguo, pois tem uma ideia direta do que representa	Pode ser testado e prototipado para verificar seu funcionamento.	Deve ter prioridade alta, pois é a função essencial do sistema.	Valioso, pois faz parte do modelo de negócio proposto pelo stakeholder.	Caso de uso entendível, pois através dele temos uma noção de como irá funcionar o sistema.	Caso de uso conciso, pois tem o necessário para o entendimento.	Caso de uso consistente, pois é de extrema importância para o stakeholder.	Caso de uso completo, pois chega ao resultado final esperado.	Pode ser negociável, pois pode ser melhorado caso algo a mais seja necessário.	Factível, pois pode ser mensurado através de protótipos e testes.	É independente, pois não necessita de outro requisito para funcionar	Estimável, pois é um ponto essencial do sistema.	Não é atômico, pois não pode ser separado em funções diferentes	É pequeno, pois é uma função simples de ser realizada no sistema.
Projeto1_CAROLINA_UC_FT11	Use case	É não ambíguo pois não deixa margem para diferentes interpretações.	É testável pois é possível verificar se o requisito foi atendido.	É prioritizável por ser possível atribuir uma prioridade a esse requisito.	É valioso pois a implementação desse requisito agrega valor ao cliente.	É entendível pois foi escrito de maneira clara.	É conciso por ser sucinto, não adicionando informações desnecessárias.	É consistente pois vai ao encontro das necessidades do cliente e não é conflitante com outros requisitos.	É completo pois está suficientemente detalhado.	É negociável pois deixa margem para que decisões detalhadas sejam feitas pelos envolvidos posteriormente.	É factível pois pode ser executado dentro das restrições do projeto.	É dependente do fluxo principal para que possa ser implementado.	O esforço para a execução desse fluxo de eventos é possível de ser estimado.	É atômico porque não pode ser dividido e pode ser entendido independentemente.	É pequeno pois pode ser desenvolvido com esforço relativamente pequeno.
Projeto2_JULIA_UC_FT8_(2)	Use case	É não ambíguo pois não deixa margem para diferentes interpretações.	É testável pois é possível verificar se o requisito foi atendido.	É prioritizável por ser possível atribuir uma prioridade a esse requisito.	É valioso pois a implementação desse requisito agrega valor ao cliente.	É entendível pois foi escrito de maneira clara.	É conciso por ser sucinto, não adicionando informações desnecessárias.	É consistente pois vai ao encontro das necessidades do cliente e não é conflitante com outros requisitos.	É completo pois está suficientemente detalhado.	É negociável pois deixa margem para que decisões detalhadas sejam feitas pelos envolvidos posteriormente.	É factível pois pode ser executado dentro das restrições do projeto.	É dependente do fluxo principal para que possa ser implementado.	O esforço para a execução desse fluxo de eventos é possível de ser estimado.	É atômico porque não pode ser dividido e pode ser entendido independentemente.	É pequeno pois pode ser desenvolvido com esforço relativamente pequeno.
Projeto2_JULIA_UC_FT7	Use case	É não ambíguo pois não edixa margem para diferentes interpretações.	É testável pois é possível verificar se o requisito foi atendido.	É prioritizável por ser possível atribuir uma prioridade a esse requisito.	É valioso pois a implementação desse requisito agrega valor ao cliente.	É entendível pois foi escrito de maneira clara.	É conciso por ser sucinto, não adicionando informações desnecessárias.	É consistente pois vai ao encontro das necessidades do cliente e não é conflitante com outros requisitos.	É completo pois está suficientemente detalhado.	É negociável pois deixa margem para que decisões detalhadas sejam feitas pelos envolvidos posteriormente.	É factível pois pode ser executado dentro das restrições do projeto.	É dependente pois depende que um requisito de cadastro de comentário seja implementado anteriormente.	O esforço para a execução desse fluxo de eventos é possível de ser estimado.	Não é atômico porque não pode ser entendido independentemente, depende do caso de uso de cadastro de comentário.	É pequeno pois pode ser desenvolvido com esforço relativamente pequeno.
Projeto2_CAROLINA_Capa_Proj_2	Misc														
Projeto2_CAROLINA_US_FT8-2	BDD	É não ambíguo porque é possível ver claramente no requisito se a solução satisfaz ou não a  necessidade associada a ele.	É testável porque é possível validar se o requisito foi atendido.	É prioritizável por que é possível atribuir uma prioridade a esse requisito em relação aos outros para a implementação.	É valioso pois a implementação desse requisito agrega valor ao cliente, sendo um dos principais requisitos.	É entendivel, a terminologia esta correta.	É conciso porque  não adiciona informações desnecessárias.	É consistente pois esta alinhado as necessidades do cliente e não é conflitante com outros requisitos.	Não é completo pois está insuficientemente detalhado. Faltaram as informações que serão necessárias do livro.	É negociável porque é possivel negociar formas de implementação posteriormente.	É factível porque  é possível de ser  realizado dentro de determinado risco previamente acordado.	É independente porque não depende de outros requisitos para ser implementado.	É estimável porque  é possível de se classificar e agendar a implementação.	É atômico porque é auto-contido e capaz de ser compreendido independentemente de outros requisitos.	É pequeno pois pode ser desenvolvido com esforço relativamente pequeno.
Projeto1_JULIA_US_FT2	BDD	É um pouco ambíguo pois une dois cenários em um só, deixando margem para diferentes interpretações.	É testável pois é possível verificar se o requisito foi atendido.	É prioritizável por ser possível atribuir uma prioridade a esse requisito.	É valioso pois a implementação desse requisito agrega valor ao cliente.	É parcialmente entendível pois, apesar de ter sido escrito de maneira clara, une dois cenários em um só.	Não é conciso pois adiciona informações adicionais, como a avaliação do usuário, que poderia ser outro cenário.	É consistente pois vai ao encontro das necessidades do cliente e não é conflitante com outros requisitos.	É completo pois está suficientemente detalhado.	É negociável pois deixa margem para que decisões detalhadas sejam feitas pelos envolvidos posteriormente.	É factível pois pode ser executado dentro das restrições do projeto.	Não é independente pois depende de outros requisitos para ser implementado, como o cadastro de restaurantes, pratos e ingredientes.	O esforço para a execução desse cenário é possível de ser estimado.	Não é atômico porque pode ser dividido e entendido independentemente, em pelo menos dois requisitos: busca por localização e avaliação do restaurante pelos usuários.	Não é muito pequeno pois une a implementação de dois cenários.
Projeto1_JULIA_US_FT6	BDD	É  ambíguo pois deixa margem para diferentes interpretações, a medida que fala em fazer buscas e salvá-las ao mesmo tempo.	É testável pois é possível verificar se o requisito foi atendido.	É prioritizável por ser possível atribuir uma prioridade a esse requisito.	É valioso pois a implementação desse requisito agrega valor ao cliente.	Não é muito entendível pois a forma como foi escrito fala em fazer e salvar buscas.	É conciso por ser sucinto, não adicionando informações desnecessárias.	É consistente pois vai ao encontro das necessidades do cliente e não é conflitante com outros requisitos.	É completo pois está suficientemente detalhado.	É negociável pois deixa margem para que decisões detalhadas sejam feitas pelos envolvidos posteriormente.	É factível pois pode ser executado dentro das restrições do projeto.	É dependente pois depende de cadastro de restaurante e seus respectivos pratos virtuais para ser implementado.	O esforço para a execução desse cenário é possível de ser estimado.	Não é atômico porque pode ser dividido e pode ser entendido independentemente, a medida que depende da implementação do cadastro do restaurante e do cardápio virtual desse restaurante.	É pequeno pois pode ser desenvolvido com esforço relativamente pequeno.
Projeto1_WALTER_Proj01-Feat02-Cen01	BDD	Sim, a estória apresenta um texto claro e direto.	Sim, pois a funcionalidade a ser desenvolvida é clara.	Não, pois não foi rankeado.	Sim, pois representa uma feature importante para o usuário.	Sim, é claro e utiliza linguagem comum a todos os envolvidos.	É conciso, pois não contém informações não pertinentes ao cenário.	É consistente, pois não entra em conflito com outros cenários e atende a necessidade do cliente.	É completo, pois fornece informação suficiente para iniciar o desenvolvimento.	Sim, pois é conciso e capta apenas a essência do que precisa ser feito.	Não é possível classifica-lo, pois não temos informações que nos permitam avaliar este ponto.	Não vejo como independente, visto que pressupõe outra feature (US03)	Não.	Sim, pois é autocontido.	Sim, representa uma pequena feature da aplicação.
Projeto1_WALTER_Proj01-Feat02-Cen02	BDD	Sim, a estória apresenta um texto claro e direto.	Sim, pois a funcionalidade a ser desenvolvida é clara.	Não, pois não foi rankeado.	Sim, pois representa uma feature importante para o usuário.	Sim, é claro e utiliza linguagem comum a todos os envolvidos.	É conciso, pois não contém informações não pertinentes ao cenário.	É consistente, pois não entra em conflito com outros cenários e atende a necessidade do cliente.	É completo, pois fornece informação suficiente para iniciar o desenvolvimento.	Sim, pois é conciso e capta apenas a essência do que precisa ser feito.	Não é possível classifica-lo, pois não temos informações que nos permitam avaliar este ponto.	Não vejo como independente, visto que pressupõe outra feature (US03)	Não.	Sim, pois é autocontido.	Sim, representa uma pequena feature da aplicação.
Projeto1_WALTER_Proj01-Feat02-Cen03	BDD	Sim, a estória apresenta um texto claro e direto.	Sim, pois a funcionalidade a ser desenvolvida é clara.	Não, pois não foi rankeado.	Sim, pois representa uma feature importante para o usuário.	Sim, é claro e utiliza linguagem comum a todos os envolvidos.	É conciso, pois não contém informações não pertinentes ao cenário.	É consistente, pois não entra em conflito com outros cenários e atende a necessidade do cliente.	É completo, pois fornece informação suficiente para iniciar o desenvolvimento.	Sim, pois é conciso e capta apenas a essência do que precisa ser feito.	Não é possível classifica-lo, pois não temos informações que nos permitam avaliar este ponto.	Não vejo como independente, visto que pressupõe outra feature (US03)	Não.	Sim, pois é autocontido.	Sim, representa uma pequena feature da aplicação.
Projeto1_RAFAEL_Exemplo_Cenario_1	BDD								Cenário aparenta estar completo por…					Cenário não pode ser dividido por que…	
Projeto2_RAFAEL_Exemplo_Cenario_1	BDD								Cenário aparenta estar completo por…					Cenário não pode ser dividido por que…	
Projeto2_RAFAEL_Exemplo_Cenario_2	BDD								Cenário aparenta estar completo por…					Cenário não pode ser dividido por que…	
Projeto1_RAFAEL_Exemplo_Cenario_2	BDD								Cenário aparenta estar completo por…					Cenário não pode ser dividido por que…	
